Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
165,Ledyba,G,0,,,1/15,,Naoyo Kimura,,,8/24/2022
722,Rowlet,G,0,Confetti,Holo Bleed,2/15,,HYOGONOSUKE,,,8/23/2022
829,Gossifleur,G,0,Confetti,,3/15,,Mizue,,,9/10/2022
58,Growlithe,F,0,Confetti,,4/15,,Narumi Sato,,,8/25/2022
494,Victini,F,0,Confetti,,5/15,,Teeziro,,,8/23/2022
131,Lapras,W,0,,,6/15,,Atsushi Furusawa,,,8/22/2022
25,Pikachu,El,0,Confetti,,7/15,,chibi,,,8/30/2022
170,Chinchou,El,0,,,8/15,,sowsow,,,8/22/2022
180,Flaaffy,El,0,,,9/15,,sui,,,8/23/2022
602,Tynamo,El,0,,,10/15,,sowsow,,,8/23/2022
742,Cutiefly,P,0,,,11/15,,Yukiko Baba,,,8/25/2022
760,Bewear,Fg,0,,,12/15,,Shigenori Negishi,,,8/22/2022
675,Pangoro,D,0,,,13/15,,HYOGONOSUKE,,,8/24/2022
780,Drampa,Dr,0,,,14/15,,Tomokazu Komiya,,,8/25/2022
235,Smeargle,N,0,Confetti,,15/15,,Kouki Saitou,,,8/22/2022
